User Question,Labrador_retriever,Golden_retriever,German_shepherd,French_bulldog,Chihuahua,beagle,Siberian_husky,boxer,Border_collie,Shih-Tzu
không gây dị ứng phù hợp nhất loài chó nào có thể sống tốt trong điều kiện nhiệt độ cực đoan?,1,0,0,0,0,0,0,0,0,0
loài chó nào có kích thước trung bình và hoàn hảo và thích nghi tốt và phù hợp cho gia đình có sân vườn?,1,0,0,0,0,0,0,0,0,0
thân thiện với thú cưng khác thích các hoạt động tôi muốn một chú chó thích nước và có thể bơi giỏi.,1,1,0,0,0,1,0,0,1,1
hoàn hảo tôi muốn tìm một chú chó có thể canh giữ nhưng không quá ồn ào.,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn năng động tôi muốn một chú chó dễ huấn luyện và thích hợp với gia đình đông người.,1,0,0,1,0,1,0,1,1,0
thân thiện với thú cưng khác ít cần chăm sóc tôi muốn tìm một giống chó có tính cách năng động và thích chơi đùa.,1,1,0,1,0,1,0,1,1,1
chó nào dễ nuôi và cảnh giác với người lạ và phù hợp với người muốn thú cưng nhỏ gọn và dễ dạy bảo?,1,0,0,0,1,0,0,0,0,0
thích nghi tốt lý tưởng loài chó nào không quá lớn nhưng vẫn có khả năng bảo vệ tốt?,0,0,1,0,0,0,0,1,0,0
dành cho người mới nuôi dễ nuôi tôi muốn tìm một giống chó không cần phải tắm thường xuyên.,1,0,0,0,0,0,0,0,0,0
không gây dị ứng dễ nuôi chó nào không quá lớn nhưng có tính cách dũng cảm?,1,0,0,0,0,0,0,0,0,0
thích nghi tốt dễ nuôi chó nào ít rụng lông và dễ chăm sóc?,1,0,0,0,0,0,0,0,0,0
loài chó nào thân thiện và thân thiện với thú cưng khác và phù hợp với người yêu thích làm vườn và hoạt động ngoài trời?,1,1,0,0,0,1,0,0,1,1
loài chó nào thân thiện với động vật khác và thích các hoạt động và cảnh giác với người lạ và phù hợp với môi trường đa thú cưng?,1,1,0,0,0,1,0,0,1,1
"cảnh giác với người lạ thân thiện tôi cần tìm một giống chó nhỏ, thích hợp cho căn hộ và ít cần chăm sóc lông.",1,1,0,1,1,1,0,0,1,1
"dành cho người mới nuôi phù hợp nhất tôi cần một giống chó lớn, trung thành và thích hợp cho khu vực có mùa đông lạnh.",0,1,0,0,0,0,0,0,0,0
không gây dị ứng lý tưởng chó nào thích hợp để chơi với trẻ em và không quá năng động?,1,1,0,1,0,1,0,1,1,0
cảnh giác với người lạ hoàn hảo loài chó nào có thể sống cùng với mèo mà không gây vấn đề?,1,0,0,0,0,0,0,0,0,0
loài chó nào có tính cách thân thiện và năng động và dành cho người mới nuôi và phù hợp với gia đình có trẻ nhỏ?,1,1,0,1,0,1,0,1,1,1
chó nào bảo vệ tốt và dành cho người mới nuôi và phù hợp để đồng hành trong các chuyến leo núi?,0,0,1,0,0,0,0,1,0,0
không gây dị ứng hoàn hảo tôi muốn tìm một chú chó có thể sống trong môi trường thay đổi liên tục.,1,0,0,0,0,0,0,0,0,0
ít rụng lông phù hợp với gia đình chó nào dễ huấn luyện nhất?,1,0,0,0,0,0,0,0,0,0
dành cho người mới nuôi bảo vệ tốt loài chó nào thích nghi với cuộc sống đô thị và ít sủa?,0,0,1,0,0,0,0,1,0,0
ít rụng lông thân thiện tôi muốn tìm một chú chó thân thiện với khách đến nhà.,1,1,0,0,0,1,0,0,1,1
thích nghi tốt phù hợp với gia đình loài chó nào có thể sống tốt cả trong nhà lẫn ngoài trời và thích nghi với khí hậu lạnh?,1,0,0,0,1,0,0,0,0,1
chó nào thân thiện và có thể sống trong không gian nhỏ và phù hợp để làm bạn đồng hành cho người làm việc ở nhà?,1,1,0,0,0,1,0,0,1,1
chó nào năng động và dành cho người mới nuôi và phù hợp với gia đình có trẻ em và cần một người bạn chơi đùa?,1,0,0,1,0,1,0,1,1,0
không gây dị ứng dễ nuôi loài chó nào có thể thích nghi với môi trường sống thay đổi liên tục?,1,0,0,0,0,0,0,0,0,0
ít rụng lông phù hợp nhất chó nào có thể sống chung với mèo và thích nghi tốt với các thú cưng khác?,1,0,0,0,0,0,0,0,0,0
cảnh giác với người lạ bảo vệ tốt chó nào ít rụng lông và dễ chăm sóc?,0,0,1,0,0,0,0,1,0,0
không gây dị ứng ít cần chăm sóc loài chó nào có tính cách trung thành và bảo vệ chủ nhân?,0,1,1,0,0,0,0,1,0,0
loài chó nào lý tưởng và cảnh giác với người lạ và phù hợp với gia đình có trẻ nhỏ và không đòi hỏi nhiều chăm sóc?,1,0,0,0,0,0,0,0,0,0
tôi muốn tìm một chú chó ít cần chăm sóc và phù hợp để bảo vệ nhưng vẫn yêu thương chủ nhân.,0,0,1,0,0,0,0,1,0,0
thích nghi tốt năng động tôi muốn nuôi chó trong môi trường căn hộ và không có nhiều thời gian đi dạo.,1,0,0,1,0,1,0,1,1,0
loài chó nào thân thiện và không gây dị ứng và phù hợp với người cao tuổi?,1,1,0,0,0,1,0,0,1,1
chó nào thân thiện và cảnh giác với người lạ và phù hợp để sống ở khu vực núi lạnh giá và tuyết phủ?,1,1,0,0,0,1,1,0,1,1
dành cho người mới nuôi phù hợp với gia đình chó nào có khả năng thích nghi tốt với nhiều loại môi trường khác nhau?,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn phù hợp nhất loài chó nào không cần vận động nhiều nhưng vẫn thích chơi đùa?,1,0,0,0,0,0,0,0,0,0
cảnh giác với người lạ bảo vệ tốt loài chó nào có thể sống trong căn hộ và không cần chăm sóc lông nhiều?,0,0,1,0,0,0,0,1,0,0
phù hợp cho người bận rộn phù hợp với gia đình loài chó nào có tính cách trung thành và bảo vệ chủ nhân?,1,1,1,0,0,0,0,1,0,0
loài chó nào cảnh giác với người lạ và phù hợp nhất và cảnh giác với người lạ và phù hợp với người thích đi phượt?,1,0,0,0,0,0,0,0,0,0
bảo vệ tốt loài chó nào thích hợp với người lần đầu nuôi và dễ huấn luyện?,0,0,1,0,0,0,0,1,0,0
tôi muốn một chú chó không sợ tiếng ồn và hoàn hảo và phù hợp với thành phố.,1,0,0,0,0,0,0,0,0,0
không gây dị ứng thích các hoạt động loài chó nào có thể sống tốt ở khu vực nhiệt đới và ít gặp vấn đề về sức khỏe?,1,0,0,0,0,0,0,0,0,0
Chó nào không quá lớn nhưng có tính cách dũng cảm?,1,0,0,0,0,0,0,0,0,0
thân thiện với thú cưng khác bảo vệ tốt tôi cần một giống chó dễ chăm sóc và không cần tắm thường xuyên.,1,1,1,0,0,1,0,1,1,1
"tôi cần một giống chó nhỏ, dễ chăm sóc và dễ nuôi và không gây dị ứng và phù hợp với căn hộ.",0,0,0,1,1,0,0,0,0,1
"dễ bảo quản bảo vệ tốt tôi cần một giống chó thông minh, dễ dạy và không cần nhiều chải lông.",1,0,1,0,0,0,0,1,1,0
chó nào ít cần chăm sóc và thích hợp cho gia đình có trẻ nhỏ và phù hợp với người thích đi biển và hoạt động nước?,1,0,0,0,0,0,0,0,0,0
thân thiện với thú cưng khác dễ nuôi loài chó nào có tính cách trung thành và bảo vệ chủ nhân?,1,1,1,0,0,1,0,1,1,1
cảnh giác với người lạ phù hợp với gia đình tôi muốn tìm một giống chó có thể làm bạn đồng hành đi bộ đường dài.,1,0,0,0,0,0,0,0,0,0
thích nghi tốt lý tưởng tôi muốn tìm một giống chó nhỏ để nuôi trong căn hộ.,0,0,0,1,1,0,0,0,0,1
tôi muốn tìm một chú chó có thể chịu lạnh và lý tưởng và cảnh giác với người lạ và phù hợp với người thích đi bộ đường dài.,0,0,1,0,0,0,1,0,0,0
ít rụng lông tốt nhất tôi muốn tìm một giống chó nhỏ để nuôi trong căn hộ.,0,0,0,1,1,0,0,0,0,1
tôi muốn tìm một chú chó thích các hoạt động và có thể sống trong không gian nhỏ và phù hợp để bảo vệ nhưng vẫn yêu thương chủ nhân.,0,0,1,0,0,0,0,1,0,0
dễ bảo quản thân thiện chó nào không quá lớn nhưng có tính cách dũng cảm?,1,1,0,0,0,1,0,0,1,1
bảo vệ tốt tôi muốn một chú chó có tính cách nhẹ nhàng nhưng vẫn có khả năng cảnh báo tốt.,0,0,1,0,0,0,0,1,0,0
chó nào thích các hoạt động và có thể sống trong không gian nhỏ và phù hợp với gia đình có trẻ em và cần một người bạn chơi đùa?,1,0,0,0,0,0,0,0,0,0
loài chó nào phù hợp cho người bận rộn và phù hợp nhất và phù hợp cho người bận rộn và phù hợp với người thích đi phượt?,1,0,0,0,0,0,0,0,0,0
chó nào không sủa nhiều và bảo vệ tốt và thích nghi tốt và phù hợp với không gian sống đô thị?,0,0,1,0,0,0,0,1,0,0
dành cho người mới nuôi tôi muốn một chú chó có tính cách nhẹ nhàng nhưng vẫn có khả năng cảnh báo tốt.,1,0,0,0,0,0,0,0,0,0
thân thiện với thú cưng khác năng động chó nào dễ huấn luyện nhất?,1,1,0,1,0,1,0,1,1,1
loài chó nào năng động và thích nghi tốt và phù hợp với người lớn tuổi và không cần nhiều chăm sóc?,1,0,0,1,0,1,0,1,1,0
loài chó nào ít cần chăm sóc và cảnh giác với người lạ và phù hợp với gia đình có trẻ nhỏ và không đòi hỏi nhiều chăm sóc?,1,0,0,0,0,0,0,0,0,0
thích các hoạt động loài chó nào không gây dị ứng và thích hợp với trẻ nhỏ?,1,0,0,0,0,0,0,0,0,0
chó nào thích các hoạt động và phù hợp cho người bận rộn và phù hợp để sống trong căn hộ cao tầng và không cần vận động nhiều?,1,0,0,0,0,0,0,0,0,0
"thân thiện với thú cưng khác hoàn hảo tôi cần tìm một giống chó nhỏ, dễ chăm sóc và thân thiện với người lớn tuổi.",1,1,0,1,1,1,0,0,1,1
không gây dị ứng bảo vệ tốt chó nào nhỏ và dễ chăm sóc?,0,0,1,0,0,0,0,1,0,0
dành cho người mới nuôi lý tưởng loài chó nào có khả năng thích ứng tốt với các môi trường sống khác nhau?,1,0,0,0,0,0,0,0,0,0
có thể sống trong không gian nhỏ thân thiện loài chó lớn nào thích hợp với nhà có sân rộng?,1,1,0,0,0,1,0,0,1,1
chó nào có khả năng chịu lạnh mà vẫn ít cần chăm sóc và ít rụng lông và phù hợp với căn hộ nhỏ?,0,0,1,0,0,0,1,0,0,0
có thể sống trong không gian nhỏ tôi muốn tìm một chú chó thông minh và dễ huấn luyện.,0,0,1,0,0,0,0,0,1,0
không gây dị ứng bảo vệ tốt tôi cần tìm một giống chó dễ dạy và không cần nhiều đồ ăn đặc biệt.,1,0,1,0,0,0,0,1,0,0
dễ bảo quản loài chó nào có thể sống tốt ở khu vực khí hậu lạnh và thích các hoạt động ngoài trời?,1,0,0,0,0,0,0,0,0,0
thích nghi tốt năng động tôi cần tìm một giống chó có thể làm bạn đồng hành khi đi bộ đường dài.,1,0,0,1,0,1,0,1,1,0
chó nào lý tưởng và dễ bảo quản và phù hợp với gia đình có người bị dị ứng và ít rụng lông?,1,0,0,0,0,0,0,0,0,0
thích nghi tốt chó nào có thể sống tốt trong môi trường thay đổi và không bị căng thẳng?,1,0,0,0,0,0,0,0,0,0
loài chó nào không sủa nhiều và lý tưởng và ít rụng lông và phù hợp với người sống trong căn hộ cao tầng?,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn phù hợp nhất loài chó nào có khả năng thích nghi với môi trường sống đô thị và không quá ồn ào?,1,0,0,0,0,0,0,0,0,0
"tôi sống trong một căn hộ nhỏ, chó nào thân thiện với thú cưng khác và phù hợp với gia đình và thân thiện với thú cưng khác và phù hợp?",1,1,0,0,0,1,0,0,1,1
thích hợp cho gia đình có trẻ nhỏ thích các hoạt động chó nào có thể làm bạn đồng hành cho người thích ở nhà và xem tv?,1,0,0,0,0,0,0,0,0,0
có thể sống trong không gian nhỏ tôi muốn tìm một chú chó có thể canh giữ nhưng không quá ồn ào.,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn ít cần chăm sóc chó nào có thể sống tốt trong môi trường thay đổi và không bị căng thẳng?,1,0,0,0,0,0,0,0,0,0
thích nghi tốt hoàn hảo loài chó nào có tính cách yêu thương và thân thiện với cả người lạ?,1,1,0,0,0,1,0,0,1,1
cảnh giác với người lạ phù hợp nhất loài chó nào có tính cách trung thành và bảo vệ chủ?,0,1,1,0,0,0,0,1,0,0
không gây dị ứng loài chó nào thích hợp với người muốn một thú cưng trung thành và yêu thương?,0,1,0,0,0,0,0,0,0,0
ít rụng lông phù hợp với gia đình loài chó nào chịu lạnh tốt mà thân thiện với trẻ em?,1,1,1,0,0,1,1,0,1,1
chó nào không gây dị ứng và phù hợp nhất và không gây dị ứng và phù hợp để sống trong nhà có sân vườn rộng và thích chạy nhảy?,0,0,0,0,1,0,0,0,0,1
thân thiện với thú cưng khác phù hợp nhất tôi muốn tìm một giống chó không cần phải tắm thường xuyên.,1,1,0,0,0,1,0,0,1,1
có thể sống trong không gian nhỏ dễ nuôi tôi muốn tìm một giống chó thông minh nhưng không quá năng động.,1,0,1,1,0,1,0,1,1,0
chó nào năng động và phù hợp với gia đình có người dị ứng?,1,0,0,1,0,1,0,1,1,0
thích nghi tốt tôi muốn tìm một giống chó thông minh và dễ dạy bảo.,1,0,1,0,0,0,0,0,1,0
ít rụng lông tôi muốn tìm một chú chó có thể bảo vệ nhưng vẫn yêu thương chủ nhân.,0,0,1,0,0,0,0,1,0,0
thích hợp cho gia đình có trẻ nhỏ phù hợp nhất tôi cần tìm một giống chó có thể đi du lịch cùng tôi mà không gặp vấn đề lo âu.,1,0,0,0,0,0,0,0,0,0
cảnh giác với người lạ năng động loài chó nào thân thiện với trẻ em và không cần nhiều không gian?,1,1,0,1,0,1,0,1,1,1
thích nghi tốt thích các hoạt động có giống chó nào chịu nóng tốt và thích hợp với người cao tuổi không?,0,0,0,1,0,1,0,0,0,0
thích hợp cho gia đình có trẻ nhỏ tốt nhất tôi cần tìm một giống chó thông minh và có thể dễ dàng huấn luyện.,1,0,1,0,0,0,0,0,1,0
chó nào có khả năng chịu lạnh mà vẫn thích các hoạt động và không gây dị ứng và phù hợp với căn hộ nhỏ?,0,0,1,0,0,0,1,0,0,0
"tôi muốn tìm một giống chó nhỏ, dễ chăm sóc và lý tưởng và dành cho người mới nuôi và phù hợp với cuộc sống đô thị.",0,0,0,1,1,0,0,0,0,1
có thể sống trong không gian nhỏ tốt nhất loài chó nào có thể làm bạn đồng hành đi dã ngoại nhưng không cần nhiều huấn luyện?,1,0,0,0,0,0,0,0,0,0
"tôi muốn một chú chó có khả năng chịu nóng, lý tưởng và phù hợp với trẻ nhỏ và không cần chăm sóc nhiều.",0,0,0,1,0,1,0,0,0,0
dễ bảo quản loài chó nào có thể canh gác và cảnh báo nhưng không quá hung dữ?,0,0,1,0,0,0,0,0,0,0
"Tôi cần một giống chó thông minh, dễ dạy và không cần nhiều chải lông.",1,0,1,0,0,0,0,0,1,0
loài chó nào không đòi hỏi nhiều vận động và thích nghi tốt và phù hợp với gia đình và thích nghi tốt và phù hợp với cuộc sống thành phố?,1,0,0,0,0,0,0,0,0,0
loài chó nào ít cần chăm sóc và phù hợp cho người bận rộn và phù hợp với vùng khí hậu lạnh và sống ngoài trời?,1,0,0,0,0,0,0,0,0,0
có thể sống trong không gian nhỏ năng động chó nào có thể sống tốt ở khu vực khí hậu nhiệt đới?,1,0,0,1,0,1,0,1,1,0
cảnh giác với người lạ tốt nhất tôi muốn tìm một chú chó có thể bảo vệ nhưng vẫn yêu thương chủ nhân.,0,0,1,0,0,0,0,1,0,0
Tôi cần một giống chó dễ chăm sóc và không cần tắm thường xuyên.,1,0,0,0,0,0,0,0,0,0
không gây dị ứng tốt nhất loài chó nào có thể làm bạn đồng hành cho người thích các hoạt động thể thao?,0,0,0,0,0,0,1,1,0,0
chó nào bảo vệ tốt và dễ bảo quản và phù hợp với người thích vận động và đi bộ đường dài?,0,0,1,0,0,0,0,1,0,0
chó nào ít rụng lông và phù hợp với gia đình và ít rụng lông và phù hợp với gia đình có trẻ nhỏ và thích các hoạt động ngoài trời?,1,0,0,0,0,0,0,0,0,0
ít cần chăm sóc chó nào có thể làm bạn đồng hành cho người thích ở nhà và xem tv?,1,0,0,0,0,0,0,0,0,0
tôi muốn tìm một chú chó ít rụng lông và phù hợp để bảo vệ nhưng vẫn yêu thương chủ nhân.,0,0,1,0,0,0,0,1,0,0
không gây dị ứng thích các hoạt động tôi muốn một chú chó có tính cách nhẹ nhàng nhưng vẫn có khả năng cảnh báo tốt.,1,0,0,0,0,0,0,0,0,0
thân thiện với thú cưng khác loài chó nào có thể sống tốt ở khu vực khí hậu lạnh và thích các hoạt động ngoài trời?,1,1,0,0,0,1,0,0,1,1
cảnh giác với người lạ hoàn hảo tôi muốn một chú chó thích chơi đùa và không quá lớn.,1,0,0,0,0,0,0,0,0,0
cảnh giác với người lạ phù hợp nhất tôi muốn tìm một giống chó thông minh và dễ dạy bảo.,1,0,1,0,0,0,0,0,1,0
Tôi muốn tìm một giống chó nhỏ để nuôi trong căn hộ.,0,0,0,1,1,0,0,0,0,1
thích hợp cho gia đình có trẻ nhỏ phù hợp với gia đình tôi muốn một chú chó thích chơi đùa và không quá lớn.,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn thân thiện tôi muốn tìm một giống chó nhỏ để nuôi trong căn hộ.,1,1,0,1,1,1,0,0,1,1
có thể sống trong không gian nhỏ bảo vệ tốt chó nào có thể làm bạn đồng hành cho người thích du lịch và di chuyển?,0,0,1,0,0,0,0,1,0,0
thích hợp cho gia đình có trẻ nhỏ loài chó nào thân thiện với người lạ nhưng cũng cảnh giác khi cần thiết?,1,1,0,0,0,1,0,0,1,1
ít rụng lông tốt nhất tôi muốn một chú chó có thể đồng hành trong các hoạt động thể thao.,0,0,0,0,0,0,1,1,0,0
cảnh giác với người lạ tôi muốn tìm một giống chó có thể làm bạn đồng hành đi bộ đường dài.,1,0,0,0,0,0,0,0,0,0
dành cho người mới nuôi bảo vệ tốt có giống chó nào chịu nóng tốt và thích hợp với người cao tuổi không?,0,0,1,1,0,1,0,1,0,0
dễ nuôi tôi cần tìm một giống chó có thể canh giữ nhưng không gây nguy hiểm.,1,0,0,0,0,0,0,0,0,0
không gây dị ứng ít cần chăm sóc tôi muốn một chú chó thích nước và có thể đi biển cùng tôi.,1,0,0,0,0,0,0,0,0,0
loài chó nào dễ nuôi và thích hợp cho gia đình có trẻ nhỏ và phù hợp để sống trong nhà có nhiều không gian và yêu thích chạy nhảy?,1,0,0,0,1,0,0,0,0,1
"tôi cần một giống chó nhỏ, dễ chăm sóc và thích các hoạt động và phù hợp cho người bận rộn và phù hợp với căn hộ.",0,0,0,1,1,0,0,0,0,1
chó nào thích các hoạt động và có thể sống trong không gian nhỏ và phù hợp với người thích yên tĩnh và không thích ồn ào?,1,0,0,0,0,0,0,0,0,0
ít rụng lông thích các hoạt động loài chó nào có thể sống tốt cả trong nhà lẫn ngoài trời và thích nghi với khí hậu lạnh?,0,0,0,0,1,0,0,0,0,1
dễ bảo quản lý tưởng tôi muốn tìm một giống chó thích hợp cho cuộc sống trong chung cư cao tầng.,0,0,0,1,0,0,0,0,0,0
phù hợp cho người bận rộn thân thiện chó nào có thể đồng hành cùng người thích đi bơi và các hoạt động nước?,1,1,0,0,0,1,0,0,1,1
